Elevation,CumArea,id,name,country,river
138.0,3.4,5149,Ubol Ratana,Thailand,Nam Pong
139.0,10.57,5149,Ubol Ratana,Thailand,Nam Pong
140.0,17.75,5149,Ubol Ratana,Thailand,Nam Pong
141.0,24.93,5149,Ubol Ratana,Thailand,Nam Pong
142.0,32.1,5149,Ubol Ratana,Thailand,Nam Pong
143.0,39.28,5149,Ubol Ratana,Thailand,Nam Pong
144.0,46.45,5149,Ubol Ratana,Thailand,Nam Pong
145.0,53.63,5149,Ubol Ratana,Thailand,Nam Pong
146.0,60.81,5149,Ubol Ratana,Thailand,Nam Pong
147.0,67.98,5149,Ubol Ratana,Thailand,Nam Pong
148.0,75.16,5149,Ubol Ratana,Thailand,Nam Pong
149.0,82.34,5149,Ubol Ratana,Thailand,Nam Pong
150.0,89.51,5149,Ubol Ratana,Thailand,Nam Pong
151.0,96.69,5149,Ubol Ratana,Thailand,Nam Pong
152.0,103.86,5149,Ubol Ratana,Thailand,Nam Pong
153.0,111.04,5149,Ubol Ratana,Thailand,Nam Pong
154.0,118.22,5149,Ubol Ratana,Thailand,Nam Pong
155.0,125.39,5149,Ubol Ratana,Thailand,Nam Pong
156.0,132.57,5149,Ubol Ratana,Thailand,Nam Pong
157.0,139.74,5149,Ubol Ratana,Thailand,Nam Pong
158.0,146.92,5149,Ubol Ratana,Thailand,Nam Pong
159.0,154.1,5149,Ubol Ratana,Thailand,Nam Pong
160.0,161.27,5149,Ubol Ratana,Thailand,Nam Pong
161.0,168.45,5149,Ubol Ratana,Thailand,Nam Pong
162.0,175.63,5149,Ubol Ratana,Thailand,Nam Pong
163.0,182.8,5149,Ubol Ratana,Thailand,Nam Pong
164.0,189.98,5149,Ubol Ratana,Thailand,Nam Pong
165.0,197.15,5149,Ubol Ratana,Thailand,Nam Pong
166.0,204.33,5149,Ubol Ratana,Thailand,Nam Pong
167.0,211.51,5149,Ubol Ratana,Thailand,Nam Pong
168.0,218.68,5149,Ubol Ratana,Thailand,Nam Pong
169.0,225.86,5149,Ubol Ratana,Thailand,Nam Pong
170.0,233.03,5149,Ubol Ratana,Thailand,Nam Pong
171.0,240.21,5149,Ubol Ratana,Thailand,Nam Pong
172.0,247.39,5149,Ubol Ratana,Thailand,Nam Pong
173.0,254.56,5149,Ubol Ratana,Thailand,Nam Pong
174.0,261.74,5149,Ubol Ratana,Thailand,Nam Pong
175.0,268.92,5149,Ubol Ratana,Thailand,Nam Pong
176.0,276.09,5149,Ubol Ratana,Thailand,Nam Pong
177.0,283.27,5149,Ubol Ratana,Thailand,Nam Pong
178.0,290.44,5149,Ubol Ratana,Thailand,Nam Pong
179.0,297.62,5149,Ubol Ratana,Thailand,Nam Pong
180.0,306.89,5149,Ubol Ratana,Thailand,Nam Pong
181.0,326.15,5149,Ubol Ratana,Thailand,Nam Pong
182.0,360.12,5149,Ubol Ratana,Thailand,Nam Pong
183.0,399.09,5149,Ubol Ratana,Thailand,Nam Pong
184.0,436.48,5149,Ubol Ratana,Thailand,Nam Pong
185.0,474.11,5149,Ubol Ratana,Thailand,Nam Pong
186.0,512.59,5149,Ubol Ratana,Thailand,Nam Pong
187.0,551.71,5149,Ubol Ratana,Thailand,Nam Pong
188.0,591.46,5149,Ubol Ratana,Thailand,Nam Pong
189.0,631.23,5149,Ubol Ratana,Thailand,Nam Pong
190.0,670.96,5149,Ubol Ratana,Thailand,Nam Pong
191.0,710.28,5149,Ubol Ratana,Thailand,Nam Pong
192.0,748.52,5149,Ubol Ratana,Thailand,Nam Pong
193.0,784.89,5149,Ubol Ratana,Thailand,Nam Pong
194.0,819.67,5149,Ubol Ratana,Thailand,Nam Pong
195.0,852.77,5149,Ubol Ratana,Thailand,Nam Pong
196.0,883.69,5149,Ubol Ratana,Thailand,Nam Pong
197.0,912.37,5149,Ubol Ratana,Thailand,Nam Pong
198.0,938.82,5149,Ubol Ratana,Thailand,Nam Pong
199.0,962.65,5149,Ubol Ratana,Thailand,Nam Pong
200.0,984.2,5149,Ubol Ratana,Thailand,Nam Pong
201.0,1003.4,5149,Ubol Ratana,Thailand,Nam Pong
202.0,1020.71,5149,Ubol Ratana,Thailand,Nam Pong
203.0,1036.23,5149,Ubol Ratana,Thailand,Nam Pong
204.0,1050.06,5149,Ubol Ratana,Thailand,Nam Pong
205.0,1062.42,5149,Ubol Ratana,Thailand,Nam Pong
206.0,1073.36,5149,Ubol Ratana,Thailand,Nam Pong
207.0,1082.89,5149,Ubol Ratana,Thailand,Nam Pong
208.0,1091.28,5149,Ubol Ratana,Thailand,Nam Pong
209.0,1098.51,5149,Ubol Ratana,Thailand,Nam Pong
210.0,1104.78,5149,Ubol Ratana,Thailand,Nam Pong
211.0,1110.39,5149,Ubol Ratana,Thailand,Nam Pong
212.0,1115.47,5149,Ubol Ratana,Thailand,Nam Pong
213.0,1119.9,5149,Ubol Ratana,Thailand,Nam Pong
214.0,1123.93,5149,Ubol Ratana,Thailand,Nam Pong
215.0,1127.48,5149,Ubol Ratana,Thailand,Nam Pong
216.0,1130.53,5149,Ubol Ratana,Thailand,Nam Pong
217.0,1133.37,5149,Ubol Ratana,Thailand,Nam Pong
218.0,1136.02,5149,Ubol Ratana,Thailand,Nam Pong
219.0,1138.49,5149,Ubol Ratana,Thailand,Nam Pong
220.0,1140.84,5149,Ubol Ratana,Thailand,Nam Pong
221.0,1143.0,5149,Ubol Ratana,Thailand,Nam Pong
222.0,1145.1,5149,Ubol Ratana,Thailand,Nam Pong
223.0,1147.04,5149,Ubol Ratana,Thailand,Nam Pong
224.0,1148.87,5149,Ubol Ratana,Thailand,Nam Pong
225.0,1150.6,5149,Ubol Ratana,Thailand,Nam Pong
226.0,1152.33,5149,Ubol Ratana,Thailand,Nam Pong
227.0,1154.03,5149,Ubol Ratana,Thailand,Nam Pong
228.0,1155.56,5149,Ubol Ratana,Thailand,Nam Pong
229.0,1157.02,5149,Ubol Ratana,Thailand,Nam Pong
230.0,1158.4,5149,Ubol Ratana,Thailand,Nam Pong
231.0,1159.71,5149,Ubol Ratana,Thailand,Nam Pong
232.0,1160.99,5149,Ubol Ratana,Thailand,Nam Pong
233.0,1162.19,5149,Ubol Ratana,Thailand,Nam Pong
234.0,1163.35,5149,Ubol Ratana,Thailand,Nam Pong
235.0,1164.41,5149,Ubol Ratana,Thailand,Nam Pong
236.0,1165.46,5149,Ubol Ratana,Thailand,Nam Pong
237.0,1166.44,5149,Ubol Ratana,Thailand,Nam Pong
238.0,1167.46,5149,Ubol Ratana,Thailand,Nam Pong
239.0,1168.42,5149,Ubol Ratana,Thailand,Nam Pong
240.0,1169.26,5149,Ubol Ratana,Thailand,Nam Pong
241.0,1170.15,5149,Ubol Ratana,Thailand,Nam Pong
242.0,1171.03,5149,Ubol Ratana,Thailand,Nam Pong
243.0,1171.96,5149,Ubol Ratana,Thailand,Nam Pong
244.0,1172.83,5149,Ubol Ratana,Thailand,Nam Pong
245.0,1173.7,5149,Ubol Ratana,Thailand,Nam Pong
246.0,1174.46,5149,Ubol Ratana,Thailand,Nam Pong
247.0,1175.18,5149,Ubol Ratana,Thailand,Nam Pong
248.0,1175.89,5149,Ubol Ratana,Thailand,Nam Pong
249.0,1176.64,5149,Ubol Ratana,Thailand,Nam Pong
250.0,1177.34,5149,Ubol Ratana,Thailand,Nam Pong
251.0,1178.11,5149,Ubol Ratana,Thailand,Nam Pong
252.0,1178.88,5149,Ubol Ratana,Thailand,Nam Pong
253.0,1179.58,5149,Ubol Ratana,Thailand,Nam Pong
254.0,1180.32,5149,Ubol Ratana,Thailand,Nam Pong
255.0,1180.99,5149,Ubol Ratana,Thailand,Nam Pong
256.0,1181.64,5149,Ubol Ratana,Thailand,Nam Pong
257.0,1182.3,5149,Ubol Ratana,Thailand,Nam Pong
258.0,1183.0,5149,Ubol Ratana,Thailand,Nam Pong
259.0,1183.66,5149,Ubol Ratana,Thailand,Nam Pong
260.0,1184.29,5149,Ubol Ratana,Thailand,Nam Pong
261.0,1184.91,5149,Ubol Ratana,Thailand,Nam Pong
262.0,1185.58,5149,Ubol Ratana,Thailand,Nam Pong
263.0,1186.2,5149,Ubol Ratana,Thailand,Nam Pong
264.0,1186.84,5149,Ubol Ratana,Thailand,Nam Pong
265.0,1187.42,5149,Ubol Ratana,Thailand,Nam Pong
266.0,1187.97,5149,Ubol Ratana,Thailand,Nam Pong
267.0,1188.5,5149,Ubol Ratana,Thailand,Nam Pong
268.0,1189.13,5149,Ubol Ratana,Thailand,Nam Pong
269.0,1189.7,5149,Ubol Ratana,Thailand,Nam Pong
270.0,1190.27,5149,Ubol Ratana,Thailand,Nam Pong
271.0,1190.81,5149,Ubol Ratana,Thailand,Nam Pong
272.0,1191.35,5149,Ubol Ratana,Thailand,Nam Pong
273.0,1191.91,5149,Ubol Ratana,Thailand,Nam Pong
274.0,1192.43,5149,Ubol Ratana,Thailand,Nam Pong
275.0,1193.0,5149,Ubol Ratana,Thailand,Nam Pong
276.0,1193.54,5149,Ubol Ratana,Thailand,Nam Pong
277.0,1194.07,5149,Ubol Ratana,Thailand,Nam Pong
278.0,1194.6,5149,Ubol Ratana,Thailand,Nam Pong
279.0,1195.14,5149,Ubol Ratana,Thailand,Nam Pong
280.0,1195.65,5149,Ubol Ratana,Thailand,Nam Pong
281.0,1196.2,5149,Ubol Ratana,Thailand,Nam Pong
282.0,1196.74,5149,Ubol Ratana,Thailand,Nam Pong
283.0,1197.25,5149,Ubol Ratana,Thailand,Nam Pong
284.0,1197.78,5149,Ubol Ratana,Thailand,Nam Pong
285.0,1198.31,5149,Ubol Ratana,Thailand,Nam Pong
286.0,1198.84,5149,Ubol Ratana,Thailand,Nam Pong
287.0,1199.4,5149,Ubol Ratana,Thailand,Nam Pong
288.0,1199.89,5149,Ubol Ratana,Thailand,Nam Pong
