Date,NDWI
2013-04-16,373.77
2013-05-16,377.81
2013-06-16,394.65
2013-07-16,318.00
2013-09-16,343.57
2013-11-16,460.22
2013-12-16,445.55
2014-01-16,436.34
2014-02-16,421.75
2014-03-16,421.22
2014-04-16,406.91
2014-05-16,398.87
2014-06-16,433.35
2014-09-16,441.04
2014-11-16,446.08
2014-12-16,439.00
2015-01-16,438.41
2015-02-16,433.82
2015-03-16,421.72
2015-04-16,413.58
2015-05-16,399.22
2015-06-16,398.52
2015-07-16,414.92
2015-08-16,431.32
2015-09-16,472.81
2015-11-16,448.22
2015-12-16,434.77
2016-01-16,476.76
2016-02-16,423.26
2016-03-16,416.21
2016-04-16,395.21
2016-06-16,335.15
2016-07-16,406.81
2016-08-16,321.62
2016-09-16,441.85
2016-11-16,468.93
2016-12-16,436.30
2017-01-16,420.62
2017-02-16,400.65
2017-03-16,383.90
2017-05-16,377.11
2017-06-16,390.03
2017-07-16,395.81
2017-09-16,388.34
2017-11-16,434.98
2017-12-16,390.30
2018-01-16,428.79
2018-02-16,423.52
2018-03-16,413.22
2018-04-16,409.97
2018-05-16,326.24
2018-06-16,329.63
2018-07-16,395.81
2018-08-16,420.20
2018-09-16,438.77
2018-11-16,445.94
2018-12-16,446.55
2019-01-16,439.02
2019-02-16,419.65
2019-03-16,408.47
2019-04-16,376.85
2019-05-16,380.68
2019-06-16,390.03
2019-07-16,381.44
2019-08-16,408.77
2019-09-16,436.11
2019-11-16,421.59
2019-12-16,427.82
2020-01-16,416.92
2020-02-16,368.74
2020-03-16,392.64
2020-04-16,365.61
2020-05-16,361.72
2020-06-16,405.57
2020-07-16,417.06
2020-08-16,396.35
2020-09-16,375.63
2020-11-16,444.28
2020-12-16,440.80
2021-01-16,431.18
2021-02-16,425.61
2021-03-16,384.63
2021-04-16,380.95
2021-05-16,362.02
2021-06-16,390.03
2021-07-16,395.81
2021-08-16,420.20
2021-09-16,432.90
