Date,NDWI
2013-04-16,145.99
2013-05-16,162.50
2013-06-16,251.96
2013-07-16,239.27
2013-08-16,212.81
2013-09-16,228.65
2013-11-16,265.52
2013-12-16,239.00
2014-01-16,233.94
2014-02-16,203.97
2014-03-16,204.49
2014-04-16,188.88
2014-05-16,168.34
2014-07-16,122.74
2014-08-16,229.72
2014-09-16,235.06
2014-11-16,241.19
2014-12-16,233.27
2015-01-16,222.25
2015-02-16,204.14
2015-03-16,195.20
2015-04-16,178.17
2015-05-16,172.69
2015-06-16,167.20
2015-07-16,169.23
2015-08-16,147.04
2015-09-16,255.90
2015-11-16,215.91
2015-12-16,209.41
2016-01-16,210.14
2016-02-16,199.57
2016-03-16,189.01
2016-04-16,181.22
2016-05-16,166.59
2016-09-16,225.03
2016-11-16,257.44
2016-12-16,229.62
2017-01-16,221.85
2017-02-16,214.01
2017-03-16,193.61
2017-04-16,187.94
2017-05-16,196.05
2017-06-16,184.27
2017-07-16,172.50
2017-08-16,188.95
2017-09-16,205.39
2017-11-16,237.75
2017-12-16,226.72
2018-01-16,218.96
2018-02-16,214.71
2018-03-16,196.76
2018-04-16,133.31
2018-05-16,185.11
2018-06-16,182.47
2018-07-16,189.79
2018-08-16,161.12
2018-09-16,220.46
2018-11-16,209.22
2018-12-16,199.82
2019-01-16,189.67
2019-02-16,179.99
2019-03-16,159.08
2019-04-16,144.31
2019-05-16,160.23
2019-06-16,134.38
2019-07-16,141.75
2019-08-16,185.20
2019-09-16,228.65
2019-11-16,242.36
2019-12-16,239.98
2020-01-16,236.66
2020-02-16,224.13
2020-03-16,211.61
2020-04-16,198.72
2020-05-16,138.88
2020-06-16,188.71
2020-07-16,211.77
2020-08-16,207.43
2020-09-16,212.28
2020-11-16,227.93
2020-12-16,233.36
2021-01-16,227.00
2021-02-16,223.92
2021-03-16,213.69
2021-04-16,191.69
2021-05-16,192.41
2021-06-16,182.47
2021-07-16,189.79
2021-08-16,205.25
2021-09-16,225.03
