date,streamflow
2001-04-01,0.09174961588163982
2001-04-02,2.456935409710653
2001-04-03,9.582682700783128
2001-04-04,21.08070005580544
2001-04-05,33.47036449055325
2001-04-06,36.92069216082624
2001-04-07,28.0806958227588
2001-04-08,17.454716045963934
2001-04-09,10.014960522922836
2001-04-10,9.846811942266818
2001-04-11,34.85480317406178
2001-04-12,92.46264230098545
2001-04-13,144.44379423784986
2001-04-14,125.66554879142276
2001-04-15,96.36364051998059
2001-04-16,82.8160963603116
2001-04-17,70.77670095898779
2001-04-18,118.77616242330892
2001-04-19,168.18185663243213
2001-04-20,150.933122173727
2001-04-21,105.63541695496804
2001-04-22,73.53364588984752
2001-04-23,63.78353872681986
2001-04-24,103.22471740347467
2001-04-25,115.60638986122629
2001-04-26,94.06753556710613
2001-04-27,109.59528873056087
2001-04-28,100.25346009728555
2001-04-29,78.55207418059716
2001-04-30,104.06584385844738
2001-05-01,170.19012678208944
2001-05-02,273.6403487946702
2001-05-03,318.99536391373556
2001-05-04,265.2900314442467
2001-05-05,196.39211448962857
2001-05-06,197.1541944662008
2001-05-07,243.82530839022485
2001-05-08,216.6566347795988
2001-05-09,164.21552097017457
2001-05-10,149.80394655700536
2001-05-11,142.21295735196264
2001-05-12,154.771437653866
2001-05-13,291.9393924868434
2001-05-14,602.477476974477
2001-05-15,776.8271809451321
2001-05-16,726.7634371919454
2001-05-17,644.5773283803204
2001-05-18,538.9172726536092
2001-05-19,429.938227606875
2001-05-20,373.11726580260984
2001-05-21,356.73602644680386
2001-05-22,337.6246437726552
2001-05-23,327.2973990578448
2001-05-24,300.5048224466925
2001-05-25,263.1376744166516
2001-05-26,243.61005589557504
2001-05-27,267.71300210138753
2001-05-28,354.0753217006746
2001-05-29,408.35296341636416
2001-05-30,390.3283246963815
2001-05-31,345.0882878692119
2001-06-01,294.0368298391875
2001-06-02,289.00107786778017
2001-06-03,292.31738275070757
2001-06-04,289.86059328319465
2001-06-05,305.4602451865302
2001-06-06,318.630648587745
2001-06-07,355.79778170167526
2001-06-08,406.0626458606796
2001-06-09,369.0452805505323
2001-06-10,291.1186739835036
2001-06-11,307.6066282089138
2001-06-12,376.0628833365144
2001-06-13,362.38252750104596
2001-06-14,345.4246353778779
2001-06-15,409.9352776781925
2001-06-16,429.099369331347
2001-06-17,389.5138812063369
2001-06-18,335.54741898569966
2001-06-19,308.9207621078592
2001-06-20,353.87475347337363
2001-06-21,411.1568296458714
2001-06-22,496.3622505857184
2001-06-23,564.4348435850006
2001-06-24,591.7549602240782
2001-06-25,650.2845011109447
2001-06-26,661.7414294467119
2001-06-27,659.658592260681
2001-06-28,658.6251944145782
2001-06-29,630.1437557413908
2001-06-30,580.1678395208592
2001-07-01,521.5071689789053
2001-07-02,487.189030653546
2001-07-03,507.20655243169466
2001-07-04,628.7321156114856
2001-07-05,713.7400095533994
2001-07-06,666.136184279319
2001-07-07,666.7680039280065
2001-07-08,760.9127816240223
2001-07-09,749.4178011092565
2001-07-10,632.6772300622644
2001-07-11,539.0234041961652
2001-07-12,543.0930674667887
2001-07-13,602.9247953748512
2001-07-14,592.7345475658268
2001-07-15,525.2977527322356
2001-07-16,467.7749012413815
2001-07-17,429.710475206454
2001-07-18,382.3993300312809
2001-07-19,346.29753333518454
2001-07-20,336.9601096706286
2001-07-21,511.0014516725079
2001-07-22,770.2564548167112
2001-07-23,799.614608558181
2001-07-24,661.3802254097493
2001-07-25,544.4592987008448
2001-07-26,528.7276308251106
2001-07-27,537.3905415307572
2001-07-28,503.21774791767956
2001-07-29,442.3039511668908
2001-07-30,412.6028407646652
2001-07-31,382.7321634192342
2001-08-01,329.9781549633348
2001-08-02,310.1006684886552
2001-08-03,395.8605899264562
2001-08-04,630.9662157308211
2001-08-05,856.8794595926487
2001-08-06,1102.4296071653591
2001-08-07,1230.5802619881263
2001-08-08,1107.208737710829
2001-08-09,1024.5570602909381
2001-08-10,1173.2934002684856
2001-08-11,1429.3843298992333
2001-08-12,1371.9121910496715
2001-08-13,1094.393373768985
2001-08-14,887.8292749871414
2001-08-15,740.4215048371401
2001-08-16,708.1175664923685
2001-08-17,759.4314565653348
2001-08-18,775.1585880821796
2001-08-19,731.4050214847973
2001-08-20,686.2513765261401
2001-08-21,653.8787500056005
2001-08-22,637.1755707528822
2001-08-23,681.6482833234152
2001-08-24,724.4162905560164
2001-08-25,715.558483487523
2001-08-26,925.4999184526329
2001-08-27,1143.1483468340482
2001-08-28,1094.409522866829
2001-08-29,1098.4782998201415
2001-08-30,1261.5187421487649
2001-08-31,1248.5654440134992
2001-09-01,1045.5945973732973
2001-09-02,865.169326987602
2001-09-03,752.9003853494526
2001-09-04,935.6768941554684
2001-09-05,1179.6682304493606
2001-09-06,1081.8461363880144
2001-09-07,862.7070327250323
2001-09-08,720.9519565237118
2001-09-09,624.904088491367
2001-09-10,644.5015581611178
2001-09-11,723.4700009946553
2001-09-12,713.6506897229073
2001-09-13,657.3760448478131
2001-09-14,596.9706261145848
2001-09-15,537.5176360351472
2001-09-16,657.8963669114381
2001-09-17,811.1948171190473
2001-09-18,786.2368352230158
2001-09-19,698.5548256762336
2001-09-20,625.3799984121572
2001-09-21,624.7908211033671
2001-09-22,667.455239646273
2001-09-23,783.239287423398
2001-09-24,858.9218121825237
2001-09-25,801.3277239996717
2001-09-26,804.979546707648
2001-09-27,813.298781504625
2001-09-28,743.0462330291559
2001-09-29,639.9750110592033
2001-09-30,545.069438971469
2001-10-01,480.4768307258283
2001-10-02,438.6708487264662
2001-10-03,493.24855840644545
2001-10-04,638.0216469927104
2001-10-05,761.6206461653283
2001-10-06,746.0277988003269
2001-10-07,625.5114084040302
2001-10-08,540.4852076205309
2001-10-09,497.38574886210984
2001-10-10,461.892628455648
2001-10-11,441.6322274174109
2001-10-12,417.3641656767414
2001-10-13,374.4991505896875
2001-10-14,350.4831455992191
2001-10-15,345.1535497064928
2001-10-16,316.1275667387565
2001-10-17,276.37804025174927
2001-10-18,249.66316903312352
2001-10-19,225.3793019611325
2001-10-20,235.70232746573993
2001-10-21,643.7249459786652
2001-10-22,1870.0461248115307
2001-10-23,2782.2976864148422
2001-10-24,2390.2232854670624
2001-10-25,1658.7413865743447
2001-10-26,1154.6910015924232
2001-10-27,809.1932266304289
2001-10-28,658.9516112050014
2001-10-29,605.9866648924295
2001-10-30,581.1140752802112
2001-10-31,557.1936396483678
2001-11-01,521.350540003094
2001-11-02,456.1350715591566
2001-11-03,403.41886326231753
2001-11-04,377.9012385289167
2001-11-05,353.7860396234073
2001-11-06,330.4444428195144
2001-11-07,308.6809523939856
2001-11-08,288.0351788898714
2001-11-09,269.9031332365438
2001-11-10,255.9107948402421
2001-11-11,274.08752815932576
2001-11-12,457.2284501505747
2001-11-13,744.7509411987722
2001-11-14,729.9465396265848
2001-11-15,525.6414286409052
2001-11-16,397.4753949385323
2001-11-17,292.0669287340467
2001-11-18,241.00603977812898
2001-11-19,218.6904702282331
2001-11-20,207.1555858958434
2001-11-21,195.64397178198132
2001-11-22,183.09324831397663
2001-11-23,164.53723801350108
2001-11-24,143.50483081114442
2001-11-25,132.90581260873526
2001-11-26,123.348185532
2001-11-27,114.373127744639
2001-11-28,105.98255431501491
2001-11-29,98.16350264007652
2001-11-30,90.88531944977784
2001-12-01,84.11984675463057
2001-12-02,77.8569980937333
2001-12-03,72.0520028329682
2001-12-04,66.67511355822485
2001-12-05,61.70443511706591
2001-12-06,57.11362179821103
2001-12-07,52.881829287415044
2001-12-08,49.781234782553426
2001-12-09,48.54774103415769
2001-12-10,47.14125910110201
2001-12-11,46.42585095175521
2001-12-12,43.60858745559537
2001-12-13,37.85059221431241
2001-12-14,33.39104843576931
2001-12-15,29.707421377916493
2001-12-16,28.467159336750807
2001-12-17,35.458036399365845
2001-12-18,44.00686560766119
2001-12-19,39.64791006570537
2001-12-20,30.340001333945942
