date,area,id,name,country,river
2013-05-16,-19.48302066225916,6999,Nam Theun 2,Laos,Nam Theun
2013-06-16,-8.28969390151729,6999,Nam Theun 2,Laos,Nam Theun
2013-07-16,23.0187337694095,6999,Nam Theun 2,Laos,Nam Theun
2013-08-16,61.70751839599725,6999,Nam Theun 2,Laos,Nam Theun
2013-09-16,-78.8732426309773,6999,Nam Theun 2,Laos,Nam Theun
2013-11-16,44.21925275391949,6999,Nam Theun 2,Laos,Nam Theun
2013-12-16,8.337777777778726,6999,Nam Theun 2,Laos,Nam Theun
2014-01-16,14.77766691777892,6999,Nam Theun 2,Laos,Nam Theun
2014-02-16,-19.688852545534388,6999,Nam Theun 2,Laos,Nam Theun
2014-03-16,-25.42290310170276,6999,Nam Theun 2,Laos,Nam Theun
2014-04-16,-62.97681646998977,6999,Nam Theun 2,Laos,Nam Theun
2014-05-16,-0.7057645809193468,6999,Nam Theun 2,Laos,Nam Theun
2014-06-16,21.20916977253093,6999,Nam Theun 2,Laos,Nam Theun
2014-07-16,36.95555802908635,6999,Nam Theun 2,Laos,Nam Theun
2014-08-16,29.78604581183259,6999,Nam Theun 2,Laos,Nam Theun
2014-09-16,8.87105602223266,6999,Nam Theun 2,Laos,Nam Theun
2014-11-16,3.3172907751378284,6999,Nam Theun 2,Laos,Nam Theun
2014-12-16,0.6869818334265356,6999,Nam Theun 2,Laos,Nam Theun
2015-01-16,-5.878200111794225,6999,Nam Theun 2,Laos,Nam Theun
2015-02-16,-11.261309992498989,6999,Nam Theun 2,Laos,Nam Theun
2015-03-16,-33.37488939236345,6999,Nam Theun 2,Laos,Nam Theun
2015-04-16,-17.713883299533844,6999,Nam Theun 2,Laos,Nam Theun
2015-05-16,-14.60718075747656,6999,Nam Theun 2,Laos,Nam Theun
2015-06-16,-15.428518649137104,6999,Nam Theun 2,Laos,Nam Theun
2015-07-16,-5.677557504570284,6999,Nam Theun 2,Laos,Nam Theun
2015-08-16,14.476096602479236,6999,Nam Theun 2,Laos,Nam Theun
2015-09-16,61.17155046888857,6999,Nam Theun 2,Laos,Nam Theun
2015-11-16,8.403450170225328,6999,Nam Theun 2,Laos,Nam Theun
2015-12-16,-12.543211308977575,6999,Nam Theun 2,Laos,Nam Theun
2016-01-16,-65.79717472781346,6999,Nam Theun 2,Laos,Nam Theun
2016-02-16,50.82626989282261,6999,Nam Theun 2,Laos,Nam Theun
2016-03-16,-21.22280501301865,6999,Nam Theun 2,Laos,Nam Theun
2016-04-16,-12.9172408540931,6999,Nam Theun 2,Laos,Nam Theun
2016-05-16,-35.03024758228312,6999,Nam Theun 2,Laos,Nam Theun
2016-06-16,10.545426233834888,6999,Nam Theun 2,Laos,Nam Theun
2016-07-16,-15.130647845489184,6999,Nam Theun 2,Laos,Nam Theun
2016-08-16,34.25555440005551,6999,Nam Theun 2,Laos,Nam Theun
2016-09-16,-45.52537172107822,6999,Nam Theun 2,Laos,Nam Theun
2016-11-16,30.540930300707277,6999,Nam Theun 2,Laos,Nam Theun
2016-12-16,53.914128912422896,6999,Nam Theun 2,Laos,Nam Theun
2017-01-16,-49.20972899782942,6999,Nam Theun 2,Laos,Nam Theun
2017-02-16,37.71402147244459,6999,Nam Theun 2,Laos,Nam Theun
2017-03-16,-22.05899226084112,6999,Nam Theun 2,Laos,Nam Theun
2017-04-16,-16.414622186823003,6999,Nam Theun 2,Laos,Nam Theun
2017-05-16,-21.66148981545644,6999,Nam Theun 2,Laos,Nam Theun
2017-06-16,-11.248662301981392,6999,Nam Theun 2,Laos,Nam Theun
2017-07-16,-21.757711483220977,6999,Nam Theun 2,Laos,Nam Theun
2017-08-16,34.25555440005551,6999,Nam Theun 2,Laos,Nam Theun
2017-09-16,-45.52537172107822,6999,Nam Theun 2,Laos,Nam Theun
2017-11-16,57.80133449247884,6999,Nam Theun 2,Laos,Nam Theun
2017-12-16,-1.6490940935350946,6999,Nam Theun 2,Laos,Nam Theun
2018-01-16,-6.019318441152068,6999,Nam Theun 2,Laos,Nam Theun
2018-02-16,-10.881482939631455,6999,Nam Theun 2,Laos,Nam Theun
2018-03-16,-32.7687533672519,6999,Nam Theun 2,Laos,Nam Theun
2018-04-16,-15.03994507449586,6999,Nam Theun 2,Laos,Nam Theun
2018-05-16,-20.30338675359453,6999,Nam Theun 2,Laos,Nam Theun
2018-06-16,-39.326226162001454,6999,Nam Theun 2,Laos,Nam Theun
2018-07-16,12.449334958100486,6999,Nam Theun 2,Laos,Nam Theun
2018-08-16,34.25555440005551,6999,Nam Theun 2,Laos,Nam Theun
2018-09-16,115.67690204785092,6999,Nam Theun 2,Laos,Nam Theun
2018-11-16,-29.77423647614144,6999,Nam Theun 2,Laos,Nam Theun
2018-12-16,-7.4375699037614735,6999,Nam Theun 2,Laos,Nam Theun
2019-01-16,-12.90476366004778,6999,Nam Theun 2,Laos,Nam Theun
2019-02-16,-32.06921330435371,6999,Nam Theun 2,Laos,Nam Theun
2019-03-16,1.5839233126985346,6999,Nam Theun 2,Laos,Nam Theun
2019-04-16,-17.61344148315296,6999,Nam Theun 2,Laos,Nam Theun
2019-05-16,-28.171044926262944,6999,Nam Theun 2,Laos,Nam Theun
2019-06-16,0.2310421836228813,6999,Nam Theun 2,Laos,Nam Theun
2019-07-16,0.2426396794871805,6999,Nam Theun 2,Laos,Nam Theun
2019-08-16,34.70829602670529,6999,Nam Theun 2,Laos,Nam Theun
2019-09-16,80.10611248213043,6999,Nam Theun 2,Laos,Nam Theun
2019-11-16,9.904425843222816,6999,Nam Theun 2,Laos,Nam Theun
2019-12-16,-37.56218753898323,6999,Nam Theun 2,Laos,Nam Theun
2020-01-16,-12.66488706396116,6999,Nam Theun 2,Laos,Nam Theun
2020-02-16,-38.43047072982565,6999,Nam Theun 2,Laos,Nam Theun
2020-03-16,11.759141764270566,6999,Nam Theun 2,Laos,Nam Theun
2020-04-16,-57.67311118765614,6999,Nam Theun 2,Laos,Nam Theun
2020-05-16,15.745217829953484,6999,Nam Theun 2,Laos,Nam Theun
2020-06-16,-9.05959475235934,6999,Nam Theun 2,Laos,Nam Theun
2020-07-16,-6.113544341564073,6999,Nam Theun 2,Laos,Nam Theun
2020-08-16,-1.3148391439203055,6999,Nam Theun 2,Laos,Nam Theun
2020-09-16,-1.1666977667493916,6999,Nam Theun 2,Laos,Nam Theun
2020-11-16,35.09423890301966,6999,Nam Theun 2,Laos,Nam Theun
2020-12-16,-2.2424550765831883,6999,Nam Theun 2,Laos,Nam Theun
2021-01-16,-5.774474876259502,6999,Nam Theun 2,Laos,Nam Theun
2021-02-16,-12.813074111649776,6999,Nam Theun 2,Laos,Nam Theun
2021-03-16,-13.083214358414,6999,Nam Theun 2,Laos,Nam Theun
2021-04-16,-29.828611264520752,6999,Nam Theun 2,Laos,Nam Theun
2021-05-16,-4.246480839967568,6999,Nam Theun 2,Laos,Nam Theun
2021-06-16,0.4685268941801209,6999,Nam Theun 2,Laos,Nam Theun
2021-07-16,-1.3776724604092043,6999,Nam Theun 2,Laos,Nam Theun
2021-08-16,34.25555440005551,6999,Nam Theun 2,Laos,Nam Theun
2021-09-16,-45.52537172107822,6999,Nam Theun 2,Laos,Nam Theun
