Date,Streamflow,id,name,country,river
2013-05-16,61.83,7203,Se San 4,Vietnam,Se San
2013-06-16,230.6,7203,Se San 4,Vietnam,Se San
2013-11-16,252.21,7203,Se San 4,Vietnam,Se San
2013-12-16,71.81,7203,Se San 4,Vietnam,Se San
2014-01-16,27.53,7203,Se San 4,Vietnam,Se San
2014-02-16,0.98,7203,Se San 4,Vietnam,Se San
2014-03-16,17.14,7203,Se San 4,Vietnam,Se San
2014-04-16,85.59,7203,Se San 4,Vietnam,Se San
2014-05-16,19.77,7203,Se San 4,Vietnam,Se San
2014-09-16,252.36,7203,Se San 4,Vietnam,Se San
2014-11-16,117.44,7203,Se San 4,Vietnam,Se San
2014-12-16,48.44,7203,Se San 4,Vietnam,Se San
2015-01-16,14.28,7203,Se San 4,Vietnam,Se San
2015-02-16,25.96,7203,Se San 4,Vietnam,Se San
2015-03-16,17.04,7203,Se San 4,Vietnam,Se San
2015-04-16,8.89,7203,Se San 4,Vietnam,Se San
2015-05-16,85.21,7203,Se San 4,Vietnam,Se San
2015-06-16,111.26,7203,Se San 4,Vietnam,Se San
2015-07-16,248.53,7203,Se San 4,Vietnam,Se San
2015-08-16,300.13,7203,Se San 4,Vietnam,Se San
2015-09-16,349.5,7203,Se San 4,Vietnam,Se San
2015-11-16,90.51,7203,Se San 4,Vietnam,Se San
2015-12-16,12.5,7203,Se San 4,Vietnam,Se San
2016-01-16,31.88,7203,Se San 4,Vietnam,Se San
2016-02-16,0.42,7203,Se San 4,Vietnam,Se San
2016-03-16,15.78,7203,Se San 4,Vietnam,Se San
2016-04-16,2.77,7203,Se San 4,Vietnam,Se San
2016-05-16,43.2,7203,Se San 4,Vietnam,Se San
2016-06-16,184.63,7203,Se San 4,Vietnam,Se San
2016-07-16,282.85,7203,Se San 4,Vietnam,Se San
2016-11-16,272.13,7203,Se San 4,Vietnam,Se San
2016-12-16,0.0,7203,Se San 4,Vietnam,Se San
2017-01-16,55.84,7203,Se San 4,Vietnam,Se San
2017-02-16,0.0,7203,Se San 4,Vietnam,Se San
2017-03-16,23.83,7203,Se San 4,Vietnam,Se San
2017-04-16,78.54,7203,Se San 4,Vietnam,Se San
2017-05-16,81.71,7203,Se San 4,Vietnam,Se San
2017-06-16,183.23,7203,Se San 4,Vietnam,Se San
2017-07-16,240.65,7203,Se San 4,Vietnam,Se San
2017-08-16,348.35,7203,Se San 4,Vietnam,Se San
2017-09-16,377.08,7203,Se San 4,Vietnam,Se San
2017-11-16,142.31,7203,Se San 4,Vietnam,Se San
2017-12-16,12.38,7203,Se San 4,Vietnam,Se San
2018-01-16,17.99,7203,Se San 4,Vietnam,Se San
2018-02-16,13.96,7203,Se San 4,Vietnam,Se San
2018-03-16,46.08,7203,Se San 4,Vietnam,Se San
2018-04-16,25.3,7203,Se San 4,Vietnam,Se San
2018-08-16,257.82,7203,Se San 4,Vietnam,Se San
2018-09-16,208.61,7203,Se San 4,Vietnam,Se San
2018-11-16,125.42,7203,Se San 4,Vietnam,Se San
2018-12-16,31.93,7203,Se San 4,Vietnam,Se San
2019-01-16,27.55,7203,Se San 4,Vietnam,Se San
2019-02-16,0.0,7203,Se San 4,Vietnam,Se San
2019-03-16,25.64,7203,Se San 4,Vietnam,Se San
2019-04-16,4.97,7203,Se San 4,Vietnam,Se San
2019-05-16,126.95,7203,Se San 4,Vietnam,Se San
2019-06-16,138.04,7203,Se San 4,Vietnam,Se San
2019-09-16,177.18,7203,Se San 4,Vietnam,Se San
2019-11-16,54.66,7203,Se San 4,Vietnam,Se San
2019-12-16,9.29,7203,Se San 4,Vietnam,Se San
2020-01-16,0.0,7203,Se San 4,Vietnam,Se San
2020-02-16,3.86,7203,Se San 4,Vietnam,Se San
2020-03-16,5.52,7203,Se San 4,Vietnam,Se San
2020-04-16,54.85,7203,Se San 4,Vietnam,Se San
2020-05-16,14.0,7203,Se San 4,Vietnam,Se San
2020-06-16,109.46,7203,Se San 4,Vietnam,Se San
2020-08-16,104.97,7203,Se San 4,Vietnam,Se San
2020-09-16,133.3,7203,Se San 4,Vietnam,Se San
2020-11-16,173.92,7203,Se San 4,Vietnam,Se San
2020-12-16,9.21,7203,Se San 4,Vietnam,Se San
2021-01-16,29.04,7203,Se San 4,Vietnam,Se San
2021-02-16,6.44,7203,Se San 4,Vietnam,Se San
2021-03-16,13.09,7203,Se San 4,Vietnam,Se San
2021-04-16,9.59,7203,Se San 4,Vietnam,Se San
2021-05-16,40.1,7203,Se San 4,Vietnam,Se San
2021-08-16,28.52,7203,Se San 4,Vietnam,Se San
