Date,NDWI,id,name,country,river
2013-04-16,40.04,7203,Se San 4,Vietnam,Se San
2013-05-16,45.29,7203,Se San 4,Vietnam,Se San
2013-06-16,45.73,7203,Se San 4,Vietnam,Se San
2013-11-16,52.62,7203,Se San 4,Vietnam,Se San
2013-12-16,49.99,7203,Se San 4,Vietnam,Se San
2014-01-16,45.92,7203,Se San 4,Vietnam,Se San
2014-02-16,46.64,7203,Se San 4,Vietnam,Se San
2014-03-16,43.77,7203,Se San 4,Vietnam,Se San
2014-04-16,24.93,7203,Se San 4,Vietnam,Se San
2014-05-16,43.38,7203,Se San 4,Vietnam,Se San
2014-09-16,50.56,7203,Se San 4,Vietnam,Se San
2014-11-16,48.14,7203,Se San 4,Vietnam,Se San
2014-12-16,48.99,7203,Se San 4,Vietnam,Se San
2015-01-16,48.05,7203,Se San 4,Vietnam,Se San
2015-02-16,43.08,7203,Se San 4,Vietnam,Se San
2015-03-16,41.04,7203,Se San 4,Vietnam,Se San
2015-04-16,42.04,7203,Se San 4,Vietnam,Se San
2015-05-16,42.53,7203,Se San 4,Vietnam,Se San
2015-06-16,43.01,7203,Se San 4,Vietnam,Se San
2015-07-16,44.68,7203,Se San 4,Vietnam,Se San
2015-08-16,46.35,7203,Se San 4,Vietnam,Se San
2015-09-16,42.01,7203,Se San 4,Vietnam,Se San
2015-11-16,42.21,7203,Se San 4,Vietnam,Se San
2015-12-16,44.01,7203,Se San 4,Vietnam,Se San
2016-01-16,38.97,7203,Se San 4,Vietnam,Se San
2016-02-16,40.0,7203,Se San 4,Vietnam,Se San
2016-03-16,37.39,7203,Se San 4,Vietnam,Se San
2016-04-16,37.76,7203,Se San 4,Vietnam,Se San
2016-05-16,37.56,7203,Se San 4,Vietnam,Se San
2016-06-16,36.64,7203,Se San 4,Vietnam,Se San
2016-07-16,43.92,7203,Se San 4,Vietnam,Se San
2016-11-16,43.92,7203,Se San 4,Vietnam,Se San
2016-12-16,50.5,7203,Se San 4,Vietnam,Se San
2017-01-16,44.95,7203,Se San 4,Vietnam,Se San
2017-02-16,48.62,7203,Se San 4,Vietnam,Se San
2017-03-16,45.37,7203,Se San 4,Vietnam,Se San
2017-04-16,33.66,7203,Se San 4,Vietnam,Se San
2017-05-16,37.59,7203,Se San 4,Vietnam,Se San
2017-06-16,46.16,7203,Se San 4,Vietnam,Se San
2017-07-16,52.61,7203,Se San 4,Vietnam,Se San
2017-08-16,59.06,7203,Se San 4,Vietnam,Se San
2017-09-16,52.39,7203,Se San 4,Vietnam,Se San
2017-11-16,41.8,7203,Se San 4,Vietnam,Se San
2017-12-16,49.31,7203,Se San 4,Vietnam,Se San
2018-01-16,49.24,7203,Se San 4,Vietnam,Se San
2018-02-16,47.45,7203,Se San 4,Vietnam,Se San
2018-03-16,40.53,7203,Se San 4,Vietnam,Se San
2018-04-16,37.3,7203,Se San 4,Vietnam,Se San
2018-08-16,31.23,7203,Se San 4,Vietnam,Se San
2018-09-16,50.09,7203,Se San 4,Vietnam,Se San
2018-11-16,42.74,7203,Se San 4,Vietnam,Se San
2018-12-16,42.94,7203,Se San 4,Vietnam,Se San
2019-01-16,40.53,7203,Se San 4,Vietnam,Se San
2019-02-16,43.3,7203,Se San 4,Vietnam,Se San
2019-03-16,38.17,7203,Se San 4,Vietnam,Se San
2019-04-16,42.55,7203,Se San 4,Vietnam,Se San
2019-05-16,41.35,7203,Se San 4,Vietnam,Se San
2019-06-16,36.74,7203,Se San 4,Vietnam,Se San
2019-09-16,48.6,7203,Se San 4,Vietnam,Se San
2019-11-16,45.72,7203,Se San 4,Vietnam,Se San
2019-12-16,45.62,7203,Se San 4,Vietnam,Se San
2020-01-16,46.19,7203,Se San 4,Vietnam,Se San
2020-02-16,45.56,7203,Se San 4,Vietnam,Se San
2020-03-16,44.62,7203,Se San 4,Vietnam,Se San
2020-04-16,32.73,7203,Se San 4,Vietnam,Se San
2020-05-16,40.49,7203,Se San 4,Vietnam,Se San
2020-06-16,28.58,7203,Se San 4,Vietnam,Se San
2020-08-16,39.89,7203,Se San 4,Vietnam,Se San
2020-09-16,33.55,7203,Se San 4,Vietnam,Se San
2020-11-16,49.09,7203,Se San 4,Vietnam,Se San
2020-12-16,49.46,7203,Se San 4,Vietnam,Se San
2021-01-16,44.53,7203,Se San 4,Vietnam,Se San
2021-02-16,43.58,7203,Se San 4,Vietnam,Se San
2021-03-16,41.25,7203,Se San 4,Vietnam,Se San
2021-04-16,42.84,7203,Se San 4,Vietnam,Se San
2021-05-16,43.99,7203,Se San 4,Vietnam,Se San
2021-08-16,31.23,7203,Se San 4,Vietnam,Se San
