Date,NDWI,id,name,country,river
2013-04-16,158.88,5149,Ubol Ratana,Thailand,Nam Pong
2013-05-16,145.79,5149,Ubol Ratana,Thailand,Nam Pong
2013-06-16,127.28,5149,Ubol Ratana,Thailand,Nam Pong
2013-07-16,194.45,5149,Ubol Ratana,Thailand,Nam Pong
2013-08-16,190.67,5149,Ubol Ratana,Thailand,Nam Pong
2013-09-16,246.73,5149,Ubol Ratana,Thailand,Nam Pong
2013-11-16,288.98,5149,Ubol Ratana,Thailand,Nam Pong
2013-12-16,291.96,5149,Ubol Ratana,Thailand,Nam Pong
2014-01-16,271.26,5149,Ubol Ratana,Thailand,Nam Pong
2014-02-16,241.81,5149,Ubol Ratana,Thailand,Nam Pong
2014-03-16,213.3,5149,Ubol Ratana,Thailand,Nam Pong
2014-04-16,146.8,5149,Ubol Ratana,Thailand,Nam Pong
2014-05-16,171.87,5149,Ubol Ratana,Thailand,Nam Pong
2014-06-16,173.04,5149,Ubol Ratana,Thailand,Nam Pong
2014-07-16,56.38,5149,Ubol Ratana,Thailand,Nam Pong
2014-08-16,151.88,5149,Ubol Ratana,Thailand,Nam Pong
2014-09-16,247.38,5149,Ubol Ratana,Thailand,Nam Pong
2014-11-16,216.04,5149,Ubol Ratana,Thailand,Nam Pong
2014-12-16,214.67,5149,Ubol Ratana,Thailand,Nam Pong
2015-01-16,215.46,5149,Ubol Ratana,Thailand,Nam Pong
2015-02-16,208.24,5149,Ubol Ratana,Thailand,Nam Pong
2015-03-16,202.72,5149,Ubol Ratana,Thailand,Nam Pong
2015-04-16,185.6,5149,Ubol Ratana,Thailand,Nam Pong
2015-05-16,166.66,5149,Ubol Ratana,Thailand,Nam Pong
2015-06-16,171.13,5149,Ubol Ratana,Thailand,Nam Pong
2015-07-16,160.37,5149,Ubol Ratana,Thailand,Nam Pong
2015-08-16,149.6,5149,Ubol Ratana,Thailand,Nam Pong
2015-09-16,170.52,5149,Ubol Ratana,Thailand,Nam Pong
2015-11-16,156.98,5149,Ubol Ratana,Thailand,Nam Pong
2015-12-16,161.39,5149,Ubol Ratana,Thailand,Nam Pong
2016-01-16,174.68,5149,Ubol Ratana,Thailand,Nam Pong
2016-02-16,158.38,5149,Ubol Ratana,Thailand,Nam Pong
2016-03-16,152.12,5149,Ubol Ratana,Thailand,Nam Pong
2016-04-16,138.15,5149,Ubol Ratana,Thailand,Nam Pong
2016-05-16,136.66,5149,Ubol Ratana,Thailand,Nam Pong
2016-06-16,126.34,5149,Ubol Ratana,Thailand,Nam Pong
2016-07-16,116.01,5149,Ubol Ratana,Thailand,Nam Pong
2016-08-16,177.62,5149,Ubol Ratana,Thailand,Nam Pong
2016-09-16,239.24,5149,Ubol Ratana,Thailand,Nam Pong
2016-11-16,327.53,5149,Ubol Ratana,Thailand,Nam Pong
2016-12-16,313.15,5149,Ubol Ratana,Thailand,Nam Pong
2017-01-16,293.2,5149,Ubol Ratana,Thailand,Nam Pong
2017-02-16,281.42,5149,Ubol Ratana,Thailand,Nam Pong
2017-03-16,254.78,5149,Ubol Ratana,Thailand,Nam Pong
2017-04-16,236.59,5149,Ubol Ratana,Thailand,Nam Pong
2017-05-16,190.1,5149,Ubol Ratana,Thailand,Nam Pong
2017-06-16,187.86,5149,Ubol Ratana,Thailand,Nam Pong
2017-07-16,180.17,5149,Ubol Ratana,Thailand,Nam Pong
2017-08-16,270.58,5149,Ubol Ratana,Thailand,Nam Pong
