Date,Streamflow
2013-05-16,2620.45
2013-06-16,5881.08
2013-07-16,7305.32
2013-08-16,8933.54
2013-09-16,5536.57
2013-11-16,5329.60
2013-12-16,1711.10
2014-01-16,203.37
2014-02-16,149.09
2014-03-16,81.64
2014-04-16,922.61
2014-05-16,1606.11
2014-06-16,3034.34
2014-07-16,5101.12
2014-08-16,7590.34
2014-09-16,8935.74
2014-11-16,3011.89
2014-12-16,1200.51
2015-01-16,477.56
2015-02-16,118.92
2015-03-16,132.16
2015-04-16,374.16
2015-05-16,2590.11
2015-06-16,3161.30
2015-07-16,5677.09
2015-08-16,6539.49
2015-09-16,6669.60
2015-11-16,2840.56
2015-12-16,511.17
2016-01-16,452.48
2016-02-16,157.96
2016-03-16,124.18
2016-04-16,100.01
2016-05-16,957.17
2016-06-16,5033.08
2016-07-16,6795.43
2016-08-16,6062.79
2016-09-16,9752.20
2016-11-16,5059.95
2016-12-16,795.11
2017-01-16,884.97
2017-02-16,385.60
2017-03-16,214.79
2017-04-16,791.02
2017-05-16,3502.98
2017-06-16,5707.91
2017-07-16,5378.06
2017-08-16,7873.55
2017-09-16,7817.50
2017-11-16,3374.09
2017-12-16,1286.91
2018-01-16,368.40
2018-02-16,165.01
2018-03-16,284.65
2018-04-16,204.18
2018-05-16,2354.33
2018-06-16,6499.66
2018-07-16,5124.45
2018-08-16,7501.54
2018-09-16,7253.47
2018-11-16,3101.47
2018-12-16,1222.21
2019-01-16,541.88
2019-02-16,190.55
2019-03-16,76.44
2019-04-16,459.36
2019-05-16,2761.89
2019-06-16,3360.46
2019-07-16,3492.40
2019-08-16,5192.34
2019-09-16,4698.30
2019-11-16,1495.64
2019-12-16,478.72
2020-01-16,124.63
2020-02-16,35.92
2020-03-16,94.27
2020-04-16,427.49
2020-05-16,1395.49
2020-06-16,3485.34
2020-07-16,3184.91
2020-08-16,4636.54
2020-09-16,3351.00
2020-11-16,5634.47
2020-12-16,806.51
2021-01-16,211.23
2021-02-16,0.00
2021-03-16,353.10
2021-04-16,342.67
2021-05-16,1777.30
2021-06-16,854.31
2021-07-16,254.35
2021-08-16,0.12
2021-09-16,0.00
